Cell_ID,Traffic_Load_Mbps,Spectrum_Usage_%,Interference_Level_dB,Power_Consumption_W,Resource_Allocated
1,193.5246582,54.42088923,1.931252678,38.60767997,1
2,475.8500101,50.71872251,5.445865244,19.56057332,0
3,368.6770315,86.72055155,21.62482268,30.15530191,0
4,303.3426573,63.08520351,47.3110313,34.60232299,0
5,86.44913382,93.88391252,3.744098246,28.50687865,0
6,86.43731496,76.79253388,36.06584029,5.096881755,0
7,38.46096996,73.9260474,25.36672905,9.872862095,1
8,434.4263114,88.64093862,13.79223269,9.322616483,0
9,304.5463558,87.05480018,15.84591889,22.35568869,0
10,356.9555631,85.21382662,1.14304506,24.6719682,0
11,20.0864022,84.4950478,35.02069334,19.6003371,0
12,485.2558276,75.76979986,5.020683101,30.67072847,0
13,417.896894,96.3237768,1.734806304,9.314100063,0
14,114.0461642,94.53207049,23.41565554,49.54957411,0
15,99.09423393,66.47024707,23.86710496,23.0694413,1
16,99.86820983,90.23472696,32.7364453,7.022099589,0
17,159.0786991,94.5554257,35.32188618,38.36484278,0
18,267.1306515,80.91274856,25.4394238,14.81963259,0
19,221.6530591,77.77895964,35.40175372,6.993498314,0
20,152.7022787,83.59433738,12.51178303,15.58324403,0
21,309.8079184,58.15303287,7.185091115,6.153484772,0
22,78.35199172,54.36718381,46.5735107,26.75008707,0
23,153.1508778,91.00751375,18.66310357,11.27540249,0
24,189.5173032,78.66631136,4.50299339,44.14573731,1
25,233.4742923,56.12507452,41.35566131,37.86779623,0
26,394.7362211,70.81590136,30.65486356,44.88660473,0
27,107.8401533,64.91171857,29.59747111,19.33578281,1
28,261.9748748,93.77389771,6.63063944,43.6052287,0
29,300.2831387,75.36100906,37.86889367,42.28200252,0
30,32.76070223,78.87562731,10.18106568,8.797259973,1
31,307.6969774,61.76452025,2.104424736,33.85947169,0
32,93.55682061,89.95317738,8.05292553,44.86950582,0
33,41.87528056,96.50506438,35.02858185,40.21519772,0
34,474.9539133,89.62471743,39.55848432,36.97294232,0
35,483.1596962,74.64295716,12.3297452,27.52248668,0
36,406.1147006,91.75444659,15.7519632,46.99051894,0
37,159.2607469,59.39794356,8.136799255,44.13930058,1
38,57.85933586,55.670683,22.63771488,33.02659091,1
39,345.274183,71.91095601,11.00285858,7.397047131,0
40,225.6747219,59.07672335,49.20530415,43.90195764,0
41,69.79873507,62.95802781,38.34803406,46.22570683,0
42,252.636686,79.25583793,29.85570257,8.212964895,1
43,26.85037535,70.19515569,36.06635253,31.53232869,0
44,455.566997,93.29391398,8.345475771,10.53605238,0
45,136.802191,61.28061727,37.18011974,26.8141421,0
